peakset,file,m/z,rt,intensity
39,1,322.141811882,257.558990479,285468.15625
39,2,322.141730993,253.552001953,238393.046875
40,0,448.228508181,204.50100708,725363.0625
40,1,448.228359267,203.072006226,762757.8125
40,2,448.228330531,205.37600708,968682.0625
41,0,324.842397757,1367.5,168643.03125
41,1,324.842475525,1372.52001953,158375.78125
41,2,324.842485825,1364.23999023,142070.171875
42,0,141.079014888,443.407012939,307660.40625
42,2,141.079009238,441.023010254,407818.90625
43,0,118.062996907,503.147003174,245091.15625
43,1,118.062996846,501.386993408,295808.09375
43,2,118.063055104,503.17098999,237183.8125
44,1,326.00075851,91.5238037109,76438.3359375
44,2,326.00079401,88.7514038086,86580.6796875
45,0,255.07408383,593.500976562,8318906.0
45,1,255.074042585,593.57800293,8514200.0
45,2,255.074363236,593.125976562,7965248.0
46,0,112.040272921,553.526977539,231890.4375
46,1,112.040275727,550.677001953,232174.203125
46,2,112.04027192,550.732971191,317911.40625
47,0,429.295357306,503.147003174,450693.84375
47,1,429.29517073,505.342010498,407077.09375
47,2,429.295021826,503.17098999,615273.625
48,1,242.973295713,115.223999023,125693.039062
48,2,242.973310655,118.653999329,124514.742188
49,0,175.109028633,1003.95001221,682005.6875
49,1,175.109029795,1002.64001465,637956.0
49,2,175.109040916,1002.5,749259.4375
50,0,135.104827954,135.074005127,711717.75
50,2,135.104831117,139.272994995,1002041.1875
51,0,237.907074557,1366.06005859,76432.109375
51,1,237.907011892,1366.18005371,98666.640625
51,2,237.907028845,1365.48999023,88316.15625
52,0,255.093466358,1052.68994141,51220.3671875
52,1,255.093387349,1043.48999023,28845.8125
52,2,255.093366638,1048.40002441,50745.8515625
53,0,164.08372752,291.983001709,187146.28125
53,2,164.08382829,301.278991699,123328.820312
54,0,188.127264837,1040.7199707,371399.96875
54,1,188.127264879,1040.73999023,359494.34375
54,2,188.127266178,1043.05004883,456575.125
55,1,138.031691578,439.302001953,128388.046875
55,2,138.031663545,442.377990723,152156.109375
56,0,372.22992695,202.024993896,193354.015625
56,2,372.23007151,202.901000977,202661.71875
57,0,515.409121536,278.946014404,379852.1875
57,2,515.409072978,282.765014648,466801.28125
58,0,321.157484117,227.225997925,169390.796875
58,1,321.157767052,227.279006958,130325.804688
58,2,321.15776419,225.602996826,163321.5
59,0,230.076632676,464.583007812,9170116.0
59,1,230.076574774,466.731994629,6709668.5
59,2,230.076619595,463.82800293,8734609.0
60,0,163.066632088,673.992004395,1412806.0
60,1,163.066650188,675.109008789,1195003.0
60,2,163.066631506,675.663024902,1532400.375
61,0,186.125588591,336.678985596,165545.515625
61,2,186.125563851,331.029998779,284652.25
62,0,190.07402566,355.669006348,85029.484375
62,1,190.074054744,351.709991455,88982.8984375
62,2,190.074041401,363.727996826,147286.1875
63,0,277.079615989,623.559997559,1360287.25
63,1,277.079678262,623.814025879,1223850.0
63,2,277.079730974,624.255981445,1464975.125
64,0,111.043249456,474.881011963,4519468.5
64,1,111.043242467,474.566009521,4303349.0
64,2,111.043247386,472.808013916,4913602.0
65,0,487.161984636,662.655029297,1463653.75
65,1,487.16199175,668.90802002,1388227.875
65,2,487.161974112,663.229003906,1426851.875
66,0,192.626017543,878.903015137,173840.21875
66,1,192.626003776,876.20501709,196296.59375
66,2,192.626031779,877.874023438,232370.03125
67,0,278.126631844,269.684997559,415099.25
67,1,278.126620965,274.67199707,364044.96875
67,2,278.126541183,265.484985352,240579.25
68,0,367.159464094,579.739013672,962731.4375
68,2,367.159708159,575.721984863,1417143.375
69,0,226.035615312,485.239990234,357717.625
