peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
110,1.0,0,237.130496288,425.720001221,144218.296875,M+H,1.0000,237.13050,1
110,1.0,1,237.130445125,424.131988525,58571.8203125,M+H,1.0000,237.13045,1
110,1.0,2,237.130494506,426.028991699,65463.9414062,M+H,1.0000,237.13049,1
111,1.0,1,144.978218845,90.2068023682,124858.46875,M+H,1.0000,144.97822,1
111,1.0,2,144.978201973,84.9073028564,115692.617188,M+H,1.0000,144.97820,1
112,1.0,0,154.074120907,409.089996338,1128394.625,M+CH3OH+H,0.6950,122.04795,3
112,1.0,1,154.074190401,412.733001709,836409.125,M+CH3OH+H,1.0000,122.04802,3
112,1.0,2,154.074184525,414.710998535,900674.6875,M+CH3OH+H,1.0000,122.04804,3
113,1.0,0,182.105418022,409.089996338,290479.03125,M+IsoProp+H,0.5690,122.04795,3
113,1.0,1,182.105493628,421.412994385,263009.78125,M+IsoProp+H,0.6970,122.04802,3
113,1.0,2,182.10561365,415.946014404,315547.59375,M+IsoProp+H,0.7610,122.04804,3
114,1.0,0,122.047945349,410.32598877,11639933.0,M+H,1.0000,122.04795,3
114,1.0,1,122.048016714,412.733001709,11012086.0,M+H,1.0000,122.04802,3
114,1.0,2,122.048036844,415.946014404,7185810.0,M+H,1.0000,122.04804,3
115,1.0,0,426.200285637,294.468994141,346292.71875,M+H,1.0000,426.20029,1
115,1.0,1,426.200521314,291.764007568,259795.25,M+H,1.0000,426.20052,1
115,1.0,2,426.200443756,284.007995605,189872.296875,M+H,1.0000,426.20044,1
116,1.0,1,396.124492785,622.570983887,130335.601562,M+CH3OH+H,1.0000,364.09821,2
117,1.0,0,364.098296505,614.625,308328.53125,M+H,1.0000,364.09830,1
117,1.0,1,364.098207202,614.851013184,417455.71875,M+H,1.0000,364.09821,2
117,1.0,2,364.098341299,612.989013672,324420.84375,M+H,1.0000,364.09834,1
118,1.0,1,420.152550536,450.542999268,92773.3359375,M+2ACN+H,1.0000,338.10008,3
119,1.0,1,360.082104,450.542999268,232210.6875,M+Na,1.0000,338.10008,3
120,1.0,1,338.100080337,445.54901123,294058.78125,M+H,1.0000,338.10008,3
120,1.0,2,338.100031458,446.096008301,280582.0,M+H,1.0000,338.10003,1
121,1.0,0,455.274201016,294.468994141,393607.3125,M+ACN+H,0.9990,414.24787,2
122,1.0,0,414.247871206,298.378997803,425068.28125,M+H,1.0000,414.24787,2
122,1.0,1,414.248031645,297.278015137,314332.5,M+H,1.0000,414.24803,1
122,1.0,2,414.247986564,285.25201416,300430.625,M+H,1.0000,414.24799,1
123,1.0,0,222.136756486,258.973999023,665736.625,M+H,1.0000,222.13676,1
123,1.0,1,222.136826082,261.294006348,704819.25,M+H,1.0000,222.13683,1
123,1.0,2,222.136759009,254.794998169,681672.25,M+H,1.0000,222.13676,1
124,1.0,0,163.073002894,726.070983887,92771.6484375,M+H,1.0000,163.07300,1
124,1.0,1,163.072929534,721.37097168,104156.429688,M+H,1.0000,163.07293,1
