peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
7005,1.0,0,339.179471948,337.928009033,474267.875,M+H,1.0000,339.17947,2
7006,1.0,0,377.13512017,340.419006348,116539.429688,M+K,0.9990,339.17947,2
7019,1.0,0,137.083988132,409.089996338,452708.625,M+H,1.0000,137.08399,3
7020,1.0,0,178.110487404,409.089996338,298971.625,M+ACN+H,1.0000,137.08399,3
7021,1.0,0,154.110586881,399.822998047,85370.8515625,M+NH4,0.9980,137.08399,3
7032,1.0,0,201.136495472,254.871002197,433520.0625,M+H,1.0000,201.13650,2
7033,1.0,0,242.162869602,258.973999023,115400.296875,M+ACN+H,1.0000,201.13650,2
7054,1.0,0,172.109950845,241.75100708,405988.875,M+H,1.0000,171.10267,2
7055,1.0,0,204.13613323,240.354003906,209760.03125,M+CH3OH+H,0.4900,171.10267,2
7057,1.0,0,165.079007869,335.432006836,405104.34375,M+H,1.0000,165.07901,2
7058,1.0,0,206.105536747,337.928009033,290406.75,M+ACN+H,1.0000,165.07901,2
7067,1.0,0,224.141135896,260.221008301,394802.21875,M+H,1.0000,224.14114,2
7068,1.0,0,256.167317457,260.221008301,270903.96875,M+CH3OH+H,0.4540,224.14114,2
7075,1.0,0,250.120315505,244.410003662,389757.625,M+H,1.0000,250.12032,3
7076,1.0,0,282.146797628,244.410003662,180748.5625,M+CH3OH+H,0.6970,250.12032,3
7077,1.0,0,310.177965577,244.410003662,131676.796875,M+IsoProp+H,1.0000,250.12032,3
7084,1.0,0,175.084435839,834.747009277,384308.75,M+H,1.0000,175.08444,2
7085,1.0,0,235.141955052,838.778015137,153372.421875,M+IsoProp+H,1.0000,175.08444,2
7130,1.0,0,172.109999673,267.191986084,338423.90625,M+H,1.0000,172.11000,2
7131,1.0,0,189.136419544,265.57699585,283957.84375,M+NH4,1.0000,172.11000,2
7132,1.0,0,314.245729303,233.800994873,337879.15625,M+H,1.0000,314.24573,2
7133,1.0,0,331.272084176,230.953994751,281170.03125,M+NH4,0.5310,314.24573,2
7158,1.0,0,152.120074097,270.932006836,325615.0625,M+H,1.0000,152.12007,2
7159,1.0,0,169.14662292,267.191986084,115499.9375,M+NH4,0.9320,152.12007,2
7162,1.0,0,195.089622403,295.710998535,322716.96875,M+H,1.0000,195.08962,2
7163,1.0,0,212.11595925,298.378997803,219849.5625,M+NH4,1.0000,195.08962,2
7177,1.0,0,233.126071359,285.165008545,313454.0,M+H,1.0000,233.12607,3
7178,1.0,0,315.179439395,285.165008545,298982.5625,M+2ACN+H,1.0000,233.12607,3
7179,1.0,0,274.152674167,280.188995361,199888.609375,M+ACN+H,1.0000,233.12607,3
7185,1.0,0,162.06792823,409.089996338,310617.5,M+H,1.0000,162.06793,2
7186,1.0,0,203.094573335,409.089996338,192506.84375,M+ACN+H,1.0000,162.06793,2
7187,1.0,0,190.135721323,253.628005981,310294.40625,M+H,1.0000,190.13572,3
7188,1.0,0,222.161869621,244.410003662,191993.390625,M+CH3OH+H,1.0000,190.13572,3
7189,1.0,0,250.192940708,250.774993896,118296.289062,M+IsoProp+H,1.0000,190.13572,3
7196,1.0,0,171.089465949,287.882995605,307238.78125,M+H,1.0000,171.08947,2
7197,1.0,0,253.142397471,294.468994141,286580.3125,M+2ACN+H,1.0000,171.08947,2
7216,1.0,0,154.099315991,267.191986084,295253.90625,M+H,1.0000,154.09932,2
7217,1.0,0,186.125544397,261.653991699,182659.625,M+CH3OH+H,1.0000,154.09932,2
7239,1.0,0,386.216557877,299.618011475,287696.6875,M+H,1.0000,385.20925,4
7240,1.0,0,418.242611636,298.378997803,196993.6875,M+CH3OH+H,1.0000,385.20925,4
7241,1.0,0,427.243144225,300.863006592,120423.296875,M+ACN+H,1.0000,385.20925,4
7242,1.0,0,424.172018898,307.854003906,77804.6328125,M+K,1.0000,385.20925,4
7245,1.0,0,255.103400926,595.984985352,287297.59375,M+H,1.0000,255.10340,2
7246,1.0,0,277.085388597,588.458984375,253988.515625,M+Na,0.9990,255.10340,2
7252,1.0,0,98.0367993002,478.834014893,283889.71875,M+H,1.0000,98.03680,2
7253,1.0,0,130.062912332,485.239990234,283823.75,M+CH3OH+H,1.0000,98.03680,2
7266,1.0,0,259.850289329,1350.65002441,276586.0,M+H,1.0000,258.84301,2
7267,1.0,0,281.83210422,1358.47998047,194201.6875,M+Na,0.9990,258.84301,2
7285,1.0,0,137.055816523,387.897003174,269040.84375,M+H,1.0000,137.05582,2
7286,1.0,0,215.069511911,389.139007568,221179.4375,M+DMSO+H,1.0000,137.05582,2
7337,1.0,0,142.099414299,291.983001709,246326.1875,M+H,0.5130,141.09214,2
7338,1.0,0,174.1256187,291.983001709,167137.15625,M+CH3OH+H,0.6910,141.09214,2
7348,1.0,0,124.063669187,291.983001709,242814.53125,M+H,1.0000,124.06367,2
7349,1.0,0,165.090198648,294.468994141,208423.796875,M+ACN+H,1.0000,124.06367,2
7372,1.0,0,215.152114588,254.871002197,234960.984375,M+H,1.0000,215.15211,3
7373,1.0,0,247.178335844,253.628005981,158690.6875,M+CH3OH+H,0.6990,215.15211,3
7374,1.0,0,275.209514127,253.628005981,111939.257812,M+IsoProp+H,1.0000,215.15211,3
7401,1.0,0,273.193773659,227.225997925,222397.515625,M+H,1.0000,272.18650,2
7402,1.0,0,314.220666829,236.287002563,128113.921875,M+ACN+H,0.5020,272.18650,2
7422,1.0,0,236.141153749,241.75100708,217055.71875,M+H,1.0000,236.14115,2
7423,1.0,0,277.167633823,247.052001953,154205.515625,M+ACN+H,0.9990,236.14115,2
7456,1.0,0,220.182676673,244.410003662,207527.171875,M+H,1.0000,220.18268,2
7457,1.0,0,252.208694809,245.649002075,204275.765625,M+CH3OH+H,0.9520,220.18268,2
7468,1.0,0,114.051047073,433.348999023,203974.890625,M+H,1.0000,114.05105,3
7469,1.0,0,146.077210177,435.829986572,164144.6875,M+CH3OH+H,1.0000,114.05105,3
7470,1.0,0,131.077642975,432.106994629,102406.820312,M+NH4,1.0000,114.05105,3
7531,1.0,0,294.157906875,295.710998535,189809.84375,M+H,0.9950,293.15063,2
7532,1.0,0,335.184036189,289.130004883,92425.0,M+ACN+H,0.9950,293.15063,2
7534,1.0,0,432.251665488,250.774993896,189497.171875,M+H,1.0000,432.25167,2
7535,1.0,0,464.278083258,258.973999023,125959.796875,M+CH3OH+H,0.9990,432.25167,2
7537,1.0,0,377.778403574,1325.36999512,189054.390625,M+H,1.0000,377.77840,2
7538,1.0,0,415.734932667,1326.61999512,81824.28125,M+K,1.0000,377.77840,2
7547,1.0,0,153.11534842,267.191986084,186357.046875,M+H,1.0000,153.11535,2
7548,1.0,0,88.0523562695,260.221008301,153897.15625,M+H+Na,0.9980,153.11535,2
7611,1.0,0,224.104741093,244.410003662,172015.453125,M+H,1.0000,224.10474,2
7612,1.0,0,284.162236148,253.628005981,114997.007812,M+IsoProp+H,0.9990,224.10474,2
7623,1.0,0,428.263753183,295.710998535,170397.484375,M+H,1.0000,428.26375,2
7624,1.0,0,469.289937122,293.227996826,144609.0625,M+ACN+H,1.0000,428.26375,2
7625,1.0,0,142.099436308,264.330993652,169582.0625,M+H,1.0000,142.09944,2
7626,1.0,0,174.125625607,254.871002197,120692.53125,M+CH3OH+H,1.0000,142.09944,2
7636,1.0,0,220.02608562,613.388000488,166710.734375,M+H,1.0000,220.02609,2
7637,1.0,0,261.052554519,614.625,158469.234375,M+ACN+H,1.0000,220.02609,2
7660,1.0,0,396.178337447,213.255996704,161572.203125,M+H,1.0000,396.17834,2
7661,1.0,0,428.203571649,217.007003784,137985.34375,M+CH3OH+H,1.0000,396.17834,2
7663,1.0,0,138.104446227,290.37298584,161440.265625,M+H,1.0000,138.10445,2
7664,1.0,0,155.131021695,285.165008545,106947.867188,M+NH4,1.0000,138.10445,2
7688,1.0,0,173.047652456,363.205993652,156432.34375,M+H,1.0000,173.04765,2
7689,1.0,0,190.07402566,355.669006348,85029.484375,M+NH4,1.0000,173.04765,2
7696,1.0,0,142.09944264,351.937011719,155295.53125,M+H,0.6120,141.09217,2
7697,1.0,0,174.125532916,355.669006348,105200.734375,M+CH3OH+H,0.7830,141.09217,2
7711,1.0,0,149.084077306,298.378997803,152169.296875,M+H,1.0000,149.08408,2
7712,1.0,0,166.110565159,291.983001709,86479.8359375,M+NH4,1.0000,149.08408,2
7720,1.0,0,276.135879211,244.410003662,150951.9375,M+H,1.0000,276.13588,2
7721,1.0,0,308.162342242,245.649002075,128969.835938,M+CH3OH+H,0.8450,276.13588,2
7722,1.0,0,232.109813762,244.410003662,150795.109375,M+H,1.0000,231.10250,2
7723,1.0,0,292.167141387,243.171005249,129468.226562,M+IsoProp+H,0.9270,231.10250,2
7782,1.0,0,294.156629728,258.973999023,141198.015625,M+H,1.0000,294.15663,2
7783,1.0,0,354.213411247,264.330993652,71905.1953125,M+IsoProp+H,0.9990,294.15663,2
7823,1.0,0,205.110336018,365.688995361,132954.59375,M+H,1.0000,205.11034,2
7824,1.0,0,122.036734116,371.972991943,68785.2421875,M+H+K,1.0000,205.11034,2
7837,1.0,0,227.152130349,233.800994873,131174.9375,M+H,1.0000,226.14485,2
7838,1.0,0,259.178252721,233.800994873,103875.914062,M+CH3OH+H,0.5290,226.14485,2
7847,1.0,0,340.225024202,235.044006348,130019.820312,M+H,0.6230,339.21775,2
7848,1.0,0,357.251453994,232.557998657,70434.1171875,M+NH4,0.8020,339.21775,2
7856,1.0,0,342.204353778,254.871002197,128934.648438,M+H,1.0000,342.20435,2
7857,1.0,0,359.230537871,249.533996582,128241.515625,M+NH4,1.0000,342.20435,2
