peakset,peakset_prob,file,m/z,rt,intensity,trans,trans_prob,precursor mass,members
362,1.0,1,290.076592817,465.494995117,16592446.0,M+K,0.9740,252.12068,5
362,1.0,0,290.076642399,464.583007812,17869386.0,M+K,1.0000,252.12072,4
363,1.0,0,354.213411247,264.330993652,71905.1953125,M+IsoProp+H,0.9990,294.15663,2
365,1.0,2,332.256217225,245.585998535,930376.5625,M+H,1.0000,332.25622,2
365,1.0,0,332.25614614,245.649002075,902425.625,M+H,1.0000,332.25615,2
365,1.0,1,332.256285074,248.315002441,742081.4375,M+H,1.0000,332.25629,2
366,1.0,0,259.178252721,233.800994873,103875.914062,M+CH3OH+H,0.5290,226.14485,2
369,1.0,1,413.736683977,86.3861999512,73696.828125,M+K,0.9990,375.78055,2
372,1.0,2,280.103318303,560.760009766,60951.0664062,M+Na,1.0000,258.12151,2
373,1.0,2,211.095557583,437.303985596,8886582.0,M+H,1.0000,211.09556,4
373,1.0,1,211.095687443,436.819000244,7661251.0,M+H,1.0000,211.09569,2
373,1.0,0,211.095644237,438.406005859,7032076.0,M+H,1.0000,211.09564,3
375,1.0,0,255.110457825,627.568969727,222291.78125,M+CH3OH+H,1.0000,223.08433,2
375,1.0,1,255.110566437,628.831970215,247033.375,M+CH3OH+H,1.0000,223.08446,2
377,1.0,1,203.061772516,410.042999268,393046.375,M+ACN+H,1.0000,162.03506,2
380,1.0,1,309.161744224,797.685974121,2638358.5,M+H,1.0000,308.15447,2
382,1.0,2,379.208286114,211.60899353,1152337.875,M+CH3OH+H,0.7820,347.18134,3
382,1.0,1,379.208250546,209.287002563,1288725.625,M+CH3OH+H,0.5670,347.18132,3
394,1.0,1,399.236931908,400.783996582,109604.484375,M+IsoProp+H,0.9990,339.17938,2
396,1.0,1,235.120702495,249.554992676,253330.375,M+CH3OH+H,1.0000,203.09467,3
398,1.0,0,290.163167605,261.653991699,151176.875,M+ACN+H,0.7240,249.13632,2
398,1.0,1,290.162883124,262.907012939,179292.71875,M+ACN+H,0.9560,249.13636,3
401,1.0,2,244.142030536,282.765014648,427249.3125,M+ACN+H,0.7550,203.11576,3
401,1.0,0,244.142039536,293.227996826,819310.75,M+ACN+H,0.7370,203.11578,3
401,1.0,1,244.142088729,291.764007568,761329.875,M+ACN+H,0.8990,203.11579,3
403,1.0,0,282.146797628,244.410003662,180748.5625,M+CH3OH+H,0.6970,250.12032,3
406,1.0,2,414.093911481,453.561004639,134176.765625,M+K,1.0000,376.13789,2
408,1.0,0,257.162575381,244.410003662,161904.703125,M+NH4,0.9050,240.13602,4
408,1.0,1,257.162742928,250.79699707,125578.195312,M+NH4,1.0000,240.13608,2
410,1.0,2,674.253849525,223.119003296,189463.5,M+K,1.0000,636.29860,2
410,1.0,1,674.253648008,223.442993164,180221.109375,M+K,1.0000,636.29781,2
416,1.0,1,324.170346868,229.763000488,816638.0625,M+K,1.0000,286.21428,3
416,1.0,2,324.170341867,229.643005371,587443.375,M+K,1.0000,286.21432,3
416,1.0,0,324.170194275,228.468002319,542965.875,M+K,1.0000,286.21420,3
424,1.0,1,455.238155145,295.67199707,95262.171875,M+H,1.0000,455.23816,2
437,1.0,2,168.089886417,396.588012695,2243256.0,M+NH4,0.6670,150.05607,2
442,1.0,2,205.048168668,614.226013184,821474.5625,M+Na,1.0000,183.06612,2
442,1.0,0,205.048017599,614.625,991230.5625,M+Na,1.0000,183.06601,2
442,1.0,1,205.048028703,614.851013184,830530.3125,M+Na,1.0000,183.06604,2
445,1.0,2,174.052895842,429.747009277,149338.609375,M+H+NH4,1.0000,330.07167,2
451,1.0,0,164.106234615,403.934997559,103337.953125,M+ACN+H,1.0000,123.07962,2
451,1.0,2,164.106168469,408.322998047,92306.6875,M+ACN+H,1.0000,123.07971,2
451,1.0,1,164.106210622,407.562011719,115846.585938,M+ACN+H,1.0000,123.07971,2
454,1.0,2,515.691220592,1327.30004883,40047.9921875,M+K,1.0000,477.73506,2
464,1.0,0,280.082354763,360.641998291,109001.632812,M+K,1.0000,242.12658,2
465,1.0,1,405.189975979,294.429992676,81482.765625,M+CH3OH+H,1.0000,373.16375,3
467,1.0,2,110.036761355,483.097991943,794002.6875,M+H+K,1.0000,181.11033,2
470,1.0,0,182.105418022,409.089996338,290479.03125,M+IsoProp+H,0.5690,122.04795,3
470,1.0,2,182.10561365,415.946014404,315547.59375,M+IsoProp+H,0.7470,122.04804,3
470,1.0,1,182.105493628,421.412994385,263009.78125,M+IsoProp+H,0.6880,122.04802,3
471,1.0,0,261.052554519,614.625,158469.234375,M+ACN+H,1.0000,220.02609,2
476,1.0,0,232.10592845,587.219970703,434179.84375,M+NH4,1.0000,215.07940,2
478,1.0,0,210.029431143,358.154998779,137783.890625,M+K,0.9990,172.07366,2
478,1.0,2,210.029409998,368.813995361,358161.21875,M+K,0.9990,172.07364,2
478,1.0,1,210.02946249,365.069000244,165187.828125,M+K,1.0000,172.07365,2
479,1.0,1,210.089157811,219.503997803,311620.71875,M+H+NH4,1.0000,401.13712,2
479,1.0,0,210.089202714,219.48399353,362028.59375,M+H+NH4,0.9990,401.13736,4
479,1.0,2,210.089136088,217.973999023,416837.75,M+H+NH4,0.9990,401.13709,4
485,1.0,0,114.031650608,410.32598877,174231.234375,M+H+Na,0.5520,205.07374,6
